"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Diagnose LogicalModel FHIR Mapping","Mapping: RIM Mapping"
"Diagnose","Diagnose","","","",0,*,"","","","null {[]} {[]}
","Das Basismodul Diagnosen enthält Diagnosen als Behandlungsbegründungen und abrechnungsbasiertes Gliederungsmerkmal, z.B. als Hauptdiagnose, Nebendiagnose, Quartalsdiagnose etc.","Logische Repräsentation des Basismoduls Diagnose","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"Diagnose.ALPHAIDKodiert","Diagnose.ALPHAIDKodiert","","","",0,1,"","","","BackboneElement {[]} {[]}
","Kodierung einer Diagnose mit Alpha-ID","Kodierung einer Diagnose mit Alpha-ID","","","","","","","","","",,,,,"",,,,"Diagnose.ALPHAIDKodiert",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Condition.code.coding.where(system='http://fhir.de/CodeSystem/bfarm/alpha-id')"
"Diagnose.ALPHAIDKodiert.id","Diagnose.ALPHAIDKodiert.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Diagnose.ALPHAIDKodiert.extension","Diagnose.ALPHAIDKodiert.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Diagnose.ALPHAIDKodiert.modifierExtension","Diagnose.ALPHAIDKodiert.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Diagnose.ALPHAIDKodiert.Diagnosecode","Diagnose.ALPHAIDKodiert.Diagnosecode","","","",1,1,"","","","code {[]} {[]}
","Alpha-ID-Code","Alpha-ID-Code","","","","","","","","","",,,,,"",,,,"Diagnose.ALPHAIDKodiert.Diagnosecode",1,1,"","","Condition.code.coding.where(system='http://fhir.de/CodeSystem/bfarm/alpha-id').code"
"Diagnose.ORPHANETDiagnoseKodiert","Diagnose.ORPHANETDiagnoseKodiert","","","",0,1,"","","","BackboneElement {[]} {[]}
","Für die Kodierung von Seltenen Krankheiten ist die Orpha-Kennnummer erforderlich.","Für die Kodierung von Seltenen Krankheiten ist die Orpha-Kennnummer erforderlich.","","","","","","","","","",,,,,"",,,,"Diagnose.ORPHANETDiagnoseKodiert",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Condition.code.coding.where(system='http://www.orpha.net')"
"Diagnose.ORPHANETDiagnoseKodiert.id","Diagnose.ORPHANETDiagnoseKodiert.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Diagnose.ORPHANETDiagnoseKodiert.extension","Diagnose.ORPHANETDiagnoseKodiert.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Diagnose.ORPHANETDiagnoseKodiert.modifierExtension","Diagnose.ORPHANETDiagnoseKodiert.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Diagnose.ORPHANETDiagnoseKodiert.Diagnosecode","Diagnose.ORPHANETDiagnoseKodiert.Diagnosecode","","","",1,1,"","","","code {[]} {[]}
","Orpha-Kennnummer","Orpha-Kennnummer","","","","","","","","","",,,,,"",,,,"Diagnose.ORPHANETDiagnoseKodiert.Diagnosecode",1,1,"","","Condition.code.coding.where(system='http://www.orpha.net').code"
"Diagnose.SNOMEDDiagnoseKodiert","Diagnose.SNOMEDDiagnoseKodiert","","","",0,1,"","","","BackboneElement {[]} {[]}
","Ermöglicht die Kodierung einer Diagnose mit SNOMED-CT","Ermöglicht die Kodierung einer Diagnose mit SNOMED-CT","","","","","","","","","",,,,,"",,,,"Diagnose.SNOMEDDiagnoseKodiert",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Condition.code.coding.where(system='http://snomed.info/sct')"
"Diagnose.SNOMEDDiagnoseKodiert.id","Diagnose.SNOMEDDiagnoseKodiert.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Diagnose.SNOMEDDiagnoseKodiert.extension","Diagnose.SNOMEDDiagnoseKodiert.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Diagnose.SNOMEDDiagnoseKodiert.modifierExtension","Diagnose.SNOMEDDiagnoseKodiert.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Diagnose.SNOMEDDiagnoseKodiert.Diagnosecode","Diagnose.SNOMEDDiagnoseKodiert.Diagnosecode","","","",1,1,"","","","code {[]} {[]}
","SNOMED-CT Code","SNOMED-CT Code","","","","","","","","","",,,,,"",,,,"Diagnose.SNOMEDDiagnoseKodiert.Diagnosecode",1,1,"","","Condition.code.coding.where(system='http://snomed.info/sct').code"
"Diagnose.WeitereKodiersysteme","Diagnose.WeitereKodiersysteme","","","",0,*,"","","","BackboneElement {[]} {[]}
","Bei Bedarf ist die Aufnahme weiterer Klassifikationen und Terminologien möglich.","Bei Bedarf ist die Aufnahme weiterer Klassifikationen und Terminologien möglich.","","","","","","","","","",,,,,"",,,,"Diagnose.WeitereKodiersysteme",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Condition.code.coding"
"Diagnose.WeitereKodiersysteme.id","Diagnose.WeitereKodiersysteme.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Diagnose.WeitereKodiersysteme.extension","Diagnose.WeitereKodiersysteme.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Diagnose.WeitereKodiersysteme.modifierExtension","Diagnose.WeitereKodiersysteme.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Diagnose.WeitereKodiersysteme.Diagnosecode","Diagnose.WeitereKodiersysteme.Diagnosecode","","","",1,1,"","","","code {[]} {[]}
","Code aus weiterem Kodiersystem","Angabe des Codes aus weiterem Kodiersystem","","","","","","","","","",,,,,"",,,,"Diagnose.WeitereKodiersysteme.Diagnosecode",1,1,"","","Condition.code.coding.code"
"Diagnose.Koerperstelle","Diagnose.Koerperstelle","","","",0,*,"","","","code {[]} {[]}
","Körperstelle","Über die Körperstelle kann angegeben werden, in welchem Bereich des Körpers eine Krankheit diagnostiziert wurde (Topografische Informatiomn)","","","","","","","","","",,,,,"",,,,"Diagnose.Koerperstelle",0,*,"","","Condition.bodySite"
"Diagnose.Freitextbeschreibung","Diagnose.Freitextbeschreibung","","","",0,1,"","","","string {[]} {[]}
","Diagnose im Klartext","Diagnose im Klartext. Im Bereich der medizinischen Dokumentation sollte die Textbeschreibung obligatorisch sein. Bei der sekundären Übernahme einer kodierten Diagonse aus der Primärdokumentation kann eine Freitextbeschreibung fehlen.","","","","","","","","","",,,,,"",,,,"Diagnose.Freitextbeschreibung",0,1,"","","Condition.code.text"
"Diagnose.Diagnoseerlaeuterung","Diagnose.Diagnoseerlaeuterung","","","",0,*,"","","","string {[]} {[]}
","Diagnoseerläuterung","Damit soll dem Arzt die Möglichkeit gegeben werden, umfangreichere Angaben zusätzlich zu einer Diagnose abzufassen.","","","","","","","","","",,,,,"",,,,"Diagnose.Diagnoseerlaeuterung",0,*,"","","Condition.note"
"Diagnose.KlinischerStatus","Diagnose.KlinischerStatus","","","",0,1,"","","","code {[]} {[]}
","Klinischer Status","aktiv, Rezidiv, Rückfall, inaktiv, Remission, geheilt","","","","","","","","","",,,,,"",,,,"Diagnose.KlinischerStatus",0,1,"","","Condition.clinicalStatus"
"Diagnose.KlinischRelevanterZeitraum","Diagnose.KlinischRelevanterZeitraum","","","",0,1,"","","","BackboneElement {[]} {[]}
","Klinisch relevanter Zeitraum","Hier kann der Klinisch Relevante Zeitraum beziehungsweise die Lebensphase einer Erkrankung angegeben werden. Datumsangaben zu Diagnosen können in unterschiedlicher Präzision vorhanden sein.","","","","","","","","","",,,,,"",,,,"Diagnose.KlinischRelevanterZeitraum",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Condition.onset[x]"
"Diagnose.KlinischRelevanterZeitraum.id","Diagnose.KlinischRelevanterZeitraum.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Diagnose.KlinischRelevanterZeitraum.extension","Diagnose.KlinischRelevanterZeitraum.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Diagnose.KlinischRelevanterZeitraum.modifierExtension","Diagnose.KlinischRelevanterZeitraum.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Diagnose.KlinischRelevanterZeitraum.Zeitraum","Diagnose.KlinischRelevanterZeitraum.Zeitraum","","","",0,1,"","","","BackboneElement {[]} {[]}
","klinisch relevanter Zeitraum","Der Zeitraum wird durch zwei Datumsangaben beschrieben, das heißt, von wann bis wann ein Patient an der diagnostizierten Krankheit litt. Über den Zeitraum kann auch ausgedrückt werden, seit wann ein Patient an einer Krankheit leidet, indem nur das Startdatum des Zeitraums angegeben wird. Das Startdatum des Zeitraums kann abweichen von dem Diagnosedatum. Datumsangaben zu Diagnosen können in unterschiedlicher Präzision vorhanden sein.","","","","","","","","","",,,,,"",,,,"Diagnose.KlinischRelevanterZeitraum.Zeitraum",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Condition.onsetPeriod"
